director_name,ceremony,year,category,outcome,original_language
Claude Goretta,Berlin International Film Festival,1981.0,"Reader Jury of the ""Berliner Morgenpost""",Won,fr
Cate Shortland,Aspen Shortsfest,2001.0,Jury Award,Won,en
Alexander Tovar,"Studio City Film Festival, US",2014.0,Best Comedy Feature,Won,en
Shengze Zhu,Montreal International Documentary Festival (RIDM),2016.0,Grand Prize,Won,en
Amin Matalqa,Skip City International D-Cinema Festival,2008.0,Grand Prize,Nominated,en
Mark Palansky,DVD Exclusive Awards,2003.0,DVD Premiere Award,Nominated,en
Judi Dench,BAFTA Awards,2014.0,BAFTA Film Award,Nominated,en
Ingrid Sinclair,Amiens International Film Festival,1996.0,OCIC Award,Won,en
Ferran Audí,Toulouse Cinespaña,2009.0,Special Mention,Won,es
O.W. Fischer,Bravo Otto,1962.0,Bravo Otto Germany,Won,de
Law Chi-Leung,Hong Kong Film Awards,1996.0,Hong Kong Film Award,Nominated,cn
Steven Zaillian,Kansas City Film Critics Circle Awards,2011.0,KCFCC Award,Won,en
Jehane Noujaim,Film Independent Spirit Awards,2005.0,Truer Than Fiction Award,Nominated,ar
Jørn Winther,Daytime Emmy Awards,1981.0,Daytime Emmy,Nominated,en
Juan Cruz,Sant Jordi Awards,2006.0,Sant Jordi,Won,en
Tracey Ullman,Primetime Emmy Awards,1999.0,Primetime Emmy,Nominated,en
Tim Webb,Chicago International Film Festival,1992.0,Silver Hugo,Won,en
Oskar Roehler,Istanbul International Film Festival,2001.0,Golden Tulip,Won,de
Lorenzo Vigas,San Francisco International Film Festival,2016.0,Golden Gate Award,Nominated,es
David France,Boston Society of Film Critics Awards,2012.0,BSFC Award,Won,en
Richard Linklater,Film Independent Spirit Awards,2002.0,Independent Spirit Award,Nominated,en
Miguel Cohan,Lima Latin American Film Festival,2011.0,Best Screenplay,Won,es
Baltasar Kormákur,Karlovy Vary International Film Festival,2007.0,Crystal Globe,Won,en
Lynne Ramsay,British Independent Film Awards,1999.0,British Independent Film Award,Nominated,en
Rúnar Rúnarsson,Thessaloniki Film Festival,2015.0,Artistic Achievement Award,Won,is
David Mamet,"Writers Guild of America, USA",1998.0,WGA Award (Screen),Nominated,en
Juan Galiñanes,ITSA Film Festival,2014.0,Honorable Mention,Won,en
Jon Alpert,International Documentary Association,2005.0,IDA Award,Nominated,en
François Truffaut,Cartagena Film Festival,1976.0,Golden India Catalina,Nominated,fr
Daniel Sánchez Arévalo,Santa Barbara International Film Festival,2007.0,Nueva Vision Award,Won,es
Witold Giersz,Krakow Film Festival,1967.0,Golden Hobby-Horse of Cracow,Won,en
Jim Sheridan,Broadcast Film Critics Association Awards,2004.0,Critics Choice Award,Nominated,en
Micha Shagrir,San Francisco International Film Festival,2000.0,Golden Spire,Won,en
Martin Beek,Washington DC Independent Film Festival,2015.0,Audience Award,Nominated,en
Anton Corbijn,Camerimage,2007.0,Award for Outstanding Achievements in the Field of Music Videos,Won,en
George Clooney,BAFTA Awards,2008.0,BAFTA Film Award,Nominated,en
Ane Siderman,Mar del Plata Film Festival,2012.0,Best Latin-American Short Film,Nominated,pt
Romain Goupil,Taormina International Film Festival,1982.0,Golden Charybdis,Nominated,fr
Michel Poulette,"Canadian Screen Awards, CA",2016.0,Canadian Screen Award,Nominated,en
Boris Sagal,Primetime Emmy Awards,1976.0,Primetime Emmy,Nominated,en
Nuri Bilge Ceylan,Istanbul International Film Festival,2003.0,Best Turkish Director of the Year,Won,tr
Oliver Stone,Razzie Awards,1998.0,Razzie Award,Nominated,en
Anne Wheeler,AMPIA Awards,1980.0,AMPIA Award,Won,en
David Darg,Tribeca Film Festival,2011.0,Jury Award,Nominated,en
Juan Sasiaín,Mar del Plata Film Festival,2013.0,Best Latin-American Film,Nominated,en
Marcos Zurinaga,ALMA Awards,1998.0,ALMA Award,Nominated,es
Abdellatif Kechiche,"César Awards, France",2005.0,César,Won,fr
Jean-Claude Carrière,European Film Awards,2016.0,Lifetime Achievement Award,Won,en
Katie Couric,News & Documentary Emmy Awards,2007.0,Emmy,Nominated,en
Jefery Levy,Venice Film Festival,1991.0,FIPRESCI Prize,Won,en
Slim Summerville,Walk of Fame,1960.0,Star on the Walk of Fame,Won,en
Emil Loteanu,San Sebastián International Film Festival,1972.0,Silver Seashell,Won,ru
Paul Thomas Anderson,Phoenix Film Critics Society Awards,2003.0,PFCS Award,Nominated,en
Derik Murray,Gemini Awards,2005.0,Gemini,Nominated,en
Aneil Karia,Utah Arts Festival (Fear No Film),2014.0,Grand Jury Prize,Won,en
