director_name,ceremony,year,category,outcome,original_language
Nimród Antal,Polish Film Awards,2006.0,Eagle,Nominated,en
Meredith Scott Lynn,VC FilmFest - Los Angeles Asian Pacific Film Festival,2007.0,Special Jury Prize,Won,en
Andreas Dalsgaard,FOCAL International Awards,2017.0,FOCAL Award,Won,en
Pol Cruchten,Minneapolis St. Paul International Film Festival,2016.0,Best Documentary,Won,en
Maru Solores,Max Ophüls Festival,2003.0,Best Short Film,Won,es
Taylor Sheridan,Denver Film Critics Society,2017.0,DFCS Award,Won,en
Percy Adlon,Guild of German Art House Cinemas,1984.0,Guild Film Award - Silver,Won,de
Joshua Butler,DVD Exclusive Awards,2001.0,Video Premiere Award,Nominated,en
Rubaiyat Hossain,Riverside International Film Festival,2012.0,Best of Show,Nominated,bn
Mia Hansen-Løve,Berlin International Film Festival,2016.0,Silver Berlin Bear,Won,fr
Aleksei Popogrebsky,Nika Awards,2008.0,Nika,Won,en
Sumiko Haneda,Awards of the Japanese Academy,2010.0,Special Award,Won,en
Mahdi Fleifel,Duhok International Film Festival,2015.0,Jury Award,Won,en
Matt Jones,SXSW Film Festival,2017.0,Special Jury Award,Won,en
Kyra Sedgwick,MTV Movie + TV Awards,1997.0,MTV Movie Award,Nominated,en
Chico Teixeira,"Festin Lisboa Film Festival, PT",2016.0,Festin Award,Won,pt
Alexander Payne,Utah Film Critics Association Awards,2011.0,UFCA Award,Won,en
Tom Hooper,Italian Online Movie Awards (IOMA),2011.0,IOMA,Nominated,en
Walon Green,"Academy Awards, USA",1970.0,Oscar,Nominated,en
Jada Pinkett Smith,Teen Choice Awards,2003.0,Teen Choice Award,Nominated,en
Juan Cavestany,Málaga Spanish Film Festival,2008.0,Golden Biznaga,Nominated,en
Midi Z,Rotterdam International Film Festival,2015.0,Netpac Award,Nominated,zh
Edward Norton,Chicago Film Critics Association Awards,1999.0,CFCA Award,Nominated,en
Anne Sundberg,"North Texas Film Critics Association, US",2011.0,NTFCA Award,2nd place,en
David Mallet,CableACE Awards,1991.0,ACE,Nominated,en
Jocelyn Moorhouse,Australian Film Institute,1991.0,AFI Award,Won,en
Stefano Rulli,Berlin International Film Festival,1975.0,FIPRESCI Prize - Recommendation,Won,it
François Ozon,"César Awards, France",2017.0,César,Nominated,fr
Ishmael Bernal,FAMAS Awards,1985.0,FAMAS Award,Nominated,en
Louis C.K.,Primetime Emmy Awards,2015.0,Primetime Emmy,Nominated,en
Alec Baldwin,Critics Choice Television Awards,2016.0,Critics' Choice TV Award,Won,en
Turner Ross,SXSW Film Festival,2009.0,SXSW Competition Award,Won,en
François Simard,SXSW Film Festival,2015.0,Audience Award,Won,en
Erik Gandini,Miami Film Festival,2006.0,Special Mention,Won,en
Alain Resnais,French Syndicate of Cinema Critics,1981.0,Critics Award,Won,fr
Richard Somes,"Golden Screen Awards, Philippines",2013.0,Golden Screen Award,Nominated,en
Lee Chambers,Hoboken International Film Festival,2016.0,Best Director,Won,en
Lee Unkrich,Gold Derby Awards,2011.0,Gold Derby Award,Nominated,en
Shunichi Nagasaki,Tokyo International Film Festival,1989.0,FIPRESCI Prize,Won,ja
Vincent Macaigne,"Lumiere Awards, France",2016.0,Lumiere Award,Nominated,fr
Lennart Ruff,Dresden Film Festival,2010.0,Golden Horseman,Nominated,de
Juzo Itami,Chicago International Film Festival,1990.0,Special Jury Prize,Won,ja
Julian Kemp,BAFTA Awards,1996.0,BAFTA TV Award,Nominated,en
Julia Ducournau,Cannes Film Festival,2016.0,Critics Week Grand Prize,Nominated,en
Vagif Mustafayev,Oberhausen International Short Film Festival,1998.0,Eulenspiegel Award,Won,en
Alan Yentob,FOCAL International Awards,2010.0,FOCAL Award,Nominated,en
Paolo Virzì,FICE - Federazione Italiana Cinema d'Essai,2014.0,Audience Award,Won,it
Wiebke von Carolsfeld,Rotterdam International Film Festival,2003.0,Tiger Award,Nominated,en
Yury Khashchevatskiy,Leipzig DOK Festival,2002.0,Honorable Mention,Won,ru
Lupita Nyong'o,"Golden Globes, USA",2014.0,Golden Globe,Nominated,en
Liev Schreiber,Film Critics Circle of Australia Awards,2013.0,FCCA Award,Nominated,en
Tassos Boulmetis,Tribeca Film Festival,2004.0,Jury Award,Nominated,el
Rakhshan Bani-Etemad,Tribeca Film Festival,2005.0,Jury Award,Nominated,fa
Barry Jenkins,Washington DC Area Film Critics Association Awards,2016.0,WAFCA Award,Nominated,en
Kasi Lemmons,Film Independent Spirit Awards,1998.0,Independent Spirit Award,Won,en
Adam Shankman,Giffoni Film Festival,2002.0,Artistic Director's Award,Won,en
José Gilberto Molinari Rosaly,"Directors Guild of America, USA",2010.0,DGA Award,Won,es
